iq,omega_m,omega_m_ref,imr,dwr_dt
0.021657,32.530247,31.415927,1.129984,34.393223
0.052587,33.817791,31.415927,1.129984,32.562042
0.053239,32.477612,31.415927,1.129984,-21.407343
0.044715,30.883383,31.415927,1.129984,-45.397087
0.107329,30.004318,31.415927,1.129984,-39.008118
0.088249,30.643980,31.415927,1.129984,30.656496
0.060935,32.056877,31.415927,1.129984,43.342045
0.049830,32.165058,31.415927,1.129984,-5.633320
0.056770,31.420372,31.415927,1.129984,-25.216141
0.090525,30.185532,31.415927,1.129984,-19.984425
0.093382,29.569006,31.415927,1.129984,-17.785892
0.099072,30.893993,31.415927,1.129984,30.597790
0.067487,33.282078,31.415927,1.129984,66.247360
0.030745,33.079720,31.415927,1.129984,6.086240
0.043797,32.839020,31.415927,1.129984,-21.586143
0.014590,31.894274,31.415927,1.129984,-20.308178
0.061207,30.296183,31.415927,1.129984,-35.698391
0.087775,30.606972,31.415927,1.129984,3.711761
0.064631,32.297287,31.415927,1.129984,44.269291
0.031328,31.889864,31.415927,1.129984,1.793906
-0.020639,31.912477,31.415927,1.129984,-9.313111
0.098224,30.711615,31.415927,1.129984,-29.149982
0.081193,29.171743,31.415927,1.129984,-28.345343
0.174917,29.965157,31.415927,1.129984,13.458124
0.052144,32.169842,31.415927,1.129984,58.792454
0.073981,32.593369,31.415927,1.129984,24.840910
0.013829,32.976349,31.415927,1.129984,7.168741
0.078320,32.350464,31.415927,1.129984,-31.407875
0.077177,30.611233,31.415927,1.129984,-34.691635
0.066661,30.395203,31.415927,1.129984,-9.172288
0.051855,31.711525,31.415927,1.129984,24.902378
0.064936,32.464203,31.415927,1.129984,28.999599
0.062784,32.287487,31.415927,1.129984,-7.816812
0.038291,31.447378,31.415927,1.129984,-44.624657
0.040851,29.723429,31.415927,1.129984,-31.453266
0.082938,29.737036,31.415927,1.129984,9.674345
0.035017,30.989420,31.415927,1.129984,23.164202
0.075365,32.430737,31.415927,1.129984,51.425564
0.039153,32.784767,31.415927,1.129984,17.890793
0.038118,31.806799,31.415927,1.129984,-41.017929
0.065886,30.779419,31.415927,1.129984,-28.267420
0.085935,30.739820,31.415927,1.129984,12.327366
0.075047,31.035742,31.415927,1.129984,5.234818
0.071954,32.697826,31.415927,1.129984,41.279991
0.049627,33.571728,31.415927,1.129984,30.863245
0.050439,31.689838,31.415927,1.129984,-51.029846
0.081504,30.180113,31.415927,1.129984,-56.870235
0.019161,30.139189,31.415927,1.129984,-2.470215
0.070479,30.312817,31.415927,1.129984,16.015472
0.073618,31.651789,31.415927,1.129984,32.649704
0.052930,32.696064,31.415927,1.129984,17.172419
0.071144,31.315611,31.415927,1.129984,-29.012804
0.072267,30.294333,31.415927,1.129984,-33.298439
0.095371,30.173096,31.415927,1.129984,-9.620731
0.039592,31.178308,31.415927,1.129984,38.755894
-0.034101,32.572601,31.415927,1.129984,43.514717
0.060264,33.399666,31.415927,1.129984,1.819674
0.046463,32.544407,31.415927,1.129984,-23.011578
0.073033,31.425512,31.415927,1.129984,-21.543953
0.057113,29.881912,31.415927,1.129984,-43.016979
0.082246,30.889772,31.415927,1.129984,24.284966
0.072750,32.336323,31.415927,1.129984,48.495438
0.039109,31.960075,31.415927,1.129984,-3.899581
0.079735,31.077024,31.415927,1.129984,-36.747417
0.041472,30.406048,31.415927,1.129984,-12.553269
0.089781,29.563253,31.415927,1.129984,-7.320093
0.077173,30.768179,31.415927,1.129984,28.262617
0.081083,33.091667,31.415927,1.129984,59.477463
-0.059510,33.135246,31.415927,1.129984,18.932821
0.047115,32.983021,31.415927,1.129984,-13.733908
0.073724,32.034817,31.415927,1.129984,-29.624527
0.092509,30.379076,31.415927,1.129984,-36.940392
0.036923,30.278112,31.415927,1.129984,-11.135560
0.078591,31.867699,31.415927,1.129984,26.688660
0.052193,31.986374,31.415927,1.129984,12.463296
0.041335,31.782036,31.415927,1.129984,-13.413556
0.100267,30.665361,31.415927,1.129984,-42.061230
0.086326,29.514933,31.415927,1.129984,-14.054866
0.075329,29.948431,31.415927,1.129984,17.106936
0.081505,31.860670,31.415927,1.129984,44.928780
0.076961,32.575188,31.415927,1.129984,30.176998
0.072563,33.067703,31.415927,1.129984,13.782957
0.024272,32.265499,31.415927,1.129984,-40.293148
0.036896,30.862141,31.415927,1.129984,-25.581394
0.079289,30.528597,31.415927,1.129984,-6.259916
0.102809,31.350449,31.415927,1.129984,10.302357
0.062292,32.545788,31.415927,1.129984,32.853951
0.055449,32.470333,31.415927,1.129984,4.498065
0.032868,31.022181,20.943951,1.129984,-64.143723
0.072099,29.884678,20.943951,1.129984,-29.706549
0.084612,30.259348,20.943951,1.129984,24.130188
0.070972,30.596786,20.943951,1.129984,7.449050
0.074990,32.393955,20.943951,1.129984,43.461288
0.073321,33.070015,20.943951,1.129984,33.747353
-0.013825,31.061424,20.943951,1.129984,-64.683990
-0.042178,25.976238,20.943951,1.129984,-166.023132
0.047560,20.321077,20.943951,1.129984,-147.239990
0.129580,17.744934,20.943951,1.129984,-69.892227
0.088542,16.722891,20.943951,1.129984,-30.433357
0.071830,19.008718,20.943951,1.129984,45.589638
0.087210,20.550718,20.943951,1.129984,48.268070
0.068465,22.111778,20.943951,1.129984,45.315407
0.070775,21.474667,20.943951,1.129984,-21.905445
0.029904,20.625631,20.943951,1.129984,-11.427756
0.089224,19.566708,20.943951,1.129984,-28.506279
0.071863,19.936247,20.943951,1.129984,12.607708
0.095080,20.047823,20.943951,1.129984,4.430451
0.079779,20.526436,20.943951,1.129984,32.067341
0.060734,21.896082,20.943951,1.129984,34.183731
0.040846,23.095392,20.943951,1.129984,36.984047
0.054582,22.682047,20.943951,1.129984,-18.942501
0.052275,21.241459,20.943951,1.129984,-32.333508
0.025840,19.670666,20.943951,1.129984,-54.504723
0.078929,18.783390,20.943951,1.129984,-25.030212
0.134284,18.985085,20.943951,1.129984,2.735230
0.090609,19.021578,20.943951,1.129984,9.714477
0.086788,21.198341,20.943951,1.129984,47.284050
0.036301,22.552570,20.943951,1.129984,48.857761
0.069412,23.578335,20.943951,1.129984,21.376085
0.035475,22.639067,20.943951,1.129984,-29.381420
0.065631,22.505871,20.943951,1.129984,-15.995989
0.076402,20.965073,20.943951,1.129984,-39.583820
0.104462,20.079796,20.943951,1.129984,-28.914486
0.131184,18.852777,20.943951,1.129984,-43.241646
-0.000839,19.445314,20.943951,1.129984,24.920349
0.095673,20.028097,20.943951,1.129984,17.047150
0.061053,22.152189,20.943951,1.129984,59.629364
0.047726,22.865927,20.943951,1.129984,16.265621
0.013722,22.768515,20.943951,1.129984,13.519824
0.035099,22.130512,20.943951,1.129984,-28.890245
0.058014,21.004282,20.943951,1.129984,-33.949085
0.078422,19.503731,20.943951,1.129984,-48.787163
0.081703,17.875103,20.943951,1.129984,-45.277832
0.085730,18.998909,20.943951,1.129984,19.565931
0.047080,19.826132,20.943951,1.129984,31.952457
0.089981,21.808672,20.943951,1.129984,52.583054
0.012836,22.029205,20.943951,1.129984,4.544077
0.050430,22.805393,20.943951,1.129984,19.037849
-0.070551,22.396818,20.943951,1.129984,-6.254933
0.085672,21.584400,20.943951,1.129984,-23.238384
0.079485,19.428612,20.943951,1.129984,-69.534760
-0.037884,18.696815,20.943951,1.129984,-9.975665
0.108224,18.750595,20.943951,1.129984,-4.157662
0.038972,20.443275,20.943951,1.129984,46.642635
0.090183,21.592041,20.943951,1.129984,29.716497
0.027575,22.439184,20.943951,1.129984,43.401829
0.047898,23.389250,20.943951,1.129984,14.308815
0.050434,23.463387,20.943951,1.129984,3.399465
0.052633,22.250519,20.943951,1.129984,-44.564461
0.042364,20.060846,20.943951,1.129984,-50.879566
0.011978,19.027447,20.943951,1.129984,-41.590332
0.069424,19.065409,20.943951,1.129984,4.233948
0.038536,20.281504,20.943951,1.129984,31.963730
0.056305,20.053883,20.943951,1.129984,-2.655301
0.044186,22.027905,20.943951,1.129984,40.927341
0.016035,22.641794,20.943951,1.129984,23.430519
0.033158,22.750814,20.943951,1.129984,-4.434587
0.041966,20.813604,20.943951,1.129984,-63.617279
0.088753,19.851875,20.943951,1.129984,-32.413391
0.086633,18.502787,20.943951,1.129984,-29.314615
0.088966,19.120207,20.943951,1.129984,19.197071
0.118445,19.599976,20.943951,1.129984,8.571128
0.019167,21.150637,20.943951,1.129984,55.186295
0.063791,22.333719,20.943951,1.129984,35.483208
0.061278,23.512075,20.943951,1.129984,22.659182
0.038837,22.621246,20.943951,1.129984,-33.419315
0.052046,21.883667,20.943951,1.129984,-15.669550
0.083648,20.271635,20.943951,1.129984,-44.987942
0.051713,19.649990,20.943951,1.129984,-15.731443
0.094554,19.176517,20.943951,1.129984,-14.738873
0.069222,19.986460,20.943951,1.129984,44.110405
0.071553,21.137079,20.943951,1.129984,32.192631
0.053486,22.815392,20.943951,1.129984,51.947617
0.040329,23.291832,20.943951,1.129984,7.319065
0.040042,22.641933,20.943951,1.129984,-9.343910
0.027210,21.843142,20.943951,1.129984,-30.099113
0.043342,20.479984,20.943951,1.129984,-36.952793
0.030613,19.420132,20.943951,1.129984,-34.149891
0.034813,17.956467,20.943951,1.129984,-44.324627
0.076965,19.289635,20.943951,1.129984,31.181499
0.082247,20.307919,20.943951,1.129984,33.648113
0.093046,22.274691,20.943951,1.129984,51.823093
0.074270,22.471710,20.943951,1.129984,3.918505
0.055580,22.580500,20.943951,1.129984,9.310338
0.063503,21.684366,20.943951,1.129984,-32.329269
0.064307,20.699247,20.943951,1.129984,-31.229155
0.107773,19.134186,20.943951,1.129984,-49.427204
0.078447,18.001585,20.943951,1.129984,-18.377077
0.094801,18.947100,20.943951,1.129984,17.125805
0.063490,20.466471,20.943951,1.129984,51.011692
0.089992,22.360605,20.943951,1.129984,52.971779
0.042464,22.495184,20.943951,1.129984,6.155107
-0.031046,23.710186,20.943951,1.129984,23.062094
0.018728,23.043755,20.943951,1.129984,-9.654911
0.023882,22.078257,20.943951,1.129984,-34.638138
0.061714,19.512608,20.943951,1.129984,-81.740372
0.073093,19.113050,20.943951,1.129984,-20.061668
0.058969,18.993698,20.943951,1.129984,6.295241
0.054748,20.386475,20.943951,1.129984,39.728580
0.057268,21.154747,20.943951,1.129984,17.484682
0.056892,22.390530,20.943951,1.129984,44.934834
0.048022,22.652859,20.943951,1.129984,10.613156
-0.029668,22.862612,20.943951,1.129984,2.716914
0.115794,21.000452,20.943951,1.129984,-59.533848
0.011428,19.388884,20.943951,1.129984,-32.803780
0.099305,18.233690,20.943951,1.129984,-38.491619
0.084257,18.954634,20.943951,1.129984,20.577646
0.086869,20.107346,20.943951,1.129984,25.915127
0.068474,20.689657,20.943951,1.129984,26.293451
0.080819,22.487341,20.943951,1.129984,35.957111
0.027999,23.254536,20.943951,1.129984,27.902679
0.057374,23.016703,20.943951,1.129984,-15.540301
0.037082,21.045034,20.943951,1.129984,-50.447723
0.023304,19.748829,20.943951,1.129984,-52.218208
0.074534,19.118361,20.943951,1.129984,-15.551977
0.046169,19.525202,20.943951,1.129984,9.797159
0.072585,19.315622,20.943951,1.129984,-5.112360
0.084711,21.306084,20.943951,1.129984,49.893978
0.028388,22.822958,20.943951,1.129984,42.441746
0.008642,23.801348,20.943951,1.129984,14.533459
0.015992,22.545452,20.943951,1.129984,-33.439827
0.078409,21.705032,20.943951,1.129984,-33.058533
0.041031,19.914429,20.943951,1.129984,-43.440254
0.077344,19.123932,20.943951,1.129984,-25.154295
0.019651,18.209303,20.943951,1.129984,-33.644077
0.072120,19.876377,20.943951,1.129984,40.729389
0.087775,20.839500,20.943951,1.129984,33.831757
-0.023890,22.737879,20.943951,1.129984,47.415619
0.026222,22.759420,20.943951,1.129984,-4.070047
0.002290,22.457850,20.943951,1.129984,3.487417
0.073289,21.202562,52.359878,1.129984,-46.252331
0.086078,20.139511,52.359878,1.129984,-30.765074
0.101002,18.824751,52.359878,1.129984,-37.958851
0.109108,17.697702,52.359878,1.129984,-21.156776
0.090651,19.447191,52.359878,1.129984,38.124073
0.041352,21.000557,52.359878,1.129984,50.701393
0.094122,23.628298,52.359878,1.129984,81.236481
0.161931,28.267056,52.359878,1.129984,147.062180
0.136471,35.100586,52.359878,1.129984,207.354156
0.144373,42.501236,52.359878,1.129984,219.936493
0.128304,50.746483,52.359878,1.129984,269.086243
0.040930,58.224297,52.359878,1.129984,211.122025
0.022668,60.155590,52.359878,1.129984,71.373543
-0.001734,59.481571,52.359878,1.129984,-13.905538
-0.001776,58.340004,52.359878,1.129984,-47.233406
-0.014773,56.091545,52.359878,1.129984,-73.729538
-0.052386,53.830399,52.359878,1.129984,-83.021088
0.061163,52.926170,52.359878,1.129984,-22.046597
0.053168,51.623646,52.359878,1.129984,-30.920227
0.105750,51.110767,52.359878,1.129984,-18.535315
0.064157,50.184822,52.359878,1.129984,-32.225513
0.087234,51.014244,52.359878,1.129984,22.311543
-0.014744,51.968449,52.359878,1.129984,41.633415
0.032982,52.402222,52.359878,1.129984,16.474365
0.158494,52.467869,52.359878,1.129984,6.530321
-0.047334,52.788368,52.359878,1.129984,-4.573972
0.077174,52.840137,52.359878,1.129984,-1.988597
0.040508,51.927380,52.359878,1.129984,-24.629894
0.082698,51.747585,52.359878,1.129984,0.094750
0.100839,52.136650,52.359878,1.129984,11.307037
0.077601,52.867409,52.359878,1.129984,19.507650
0.035264,52.806965,52.359878,1.129984,13.028817
0.057166,52.754898,52.359878,1.129984,2.473782
0.064375,52.447548,52.359878,1.129984,-9.250009
0.016562,51.851349,52.359878,1.129984,-32.137707
0.002875,51.738064,52.359878,1.129984,-4.339690
0.088057,52.116592,52.359878,1.129984,16.565895
0.109307,52.947277,52.359878,1.129984,28.078024
0.019353,52.591579,52.359878,1.129984,-4.687260
0.049788,52.564884,52.359878,1.129984,-4.144225
0.056064,52.547123,52.359878,1.129984,1.637675
-0.035058,52.446892,52.359878,1.129984,-7.090829
0.035947,51.735943,52.359878,1.129984,-19.323097
0.079446,51.862034,52.359878,1.129984,-3.698650
0.094568,52.820293,52.359878,1.129984,27.606554
0.040502,52.692970,52.359878,1.129984,-2.465605
0.082368,52.534256,52.359878,1.129984,1.594275
0.067621,52.303223,52.359878,1.129984,-4.066759
0.111939,52.578907,52.359878,1.129984,6.734103
0.000144,52.087219,52.359878,1.129984,-0.673086
0.052610,51.943275,52.359878,1.129984,0.598949
0.022668,52.179996,52.359878,1.129984,9.640771
0.042283,52.833206,52.359878,1.129984,0.947973
0.026673,52.887577,52.359878,1.129984,2.095397
0.113176,52.276505,52.359878,1.129984,-13.370737
0.087062,52.278057,52.359878,1.129984,6.338552
0.057627,51.926155,52.359878,1.129984,-20.676275
0.088792,52.156181,52.359878,1.129984,3.063695
0.065790,52.361206,52.359878,1.129984,19.765068
0.112911,52.908401,52.359878,1.129984,27.475204
0.031571,52.679253,52.359878,1.129984,-1.042404
0.050187,52.391159,52.359878,1.129984,-22.368576
0.026509,52.143593,52.359878,1.129984,-5.054385
0.056879,52.415371,52.359878,1.129984,7.288880
0.081440,52.025269,52.359878,1.129984,-3.237769
0.051159,51.774647,52.359878,1.129984,-17.937706
0.114693,52.644920,52.359878,1.129984,17.022690
0.062469,53.124680,52.359878,1.129984,14.980316
0.026293,52.973053,52.359878,1.129984,8.017659
-0.010112,51.912582,52.359878,1.129984,-20.943268
0.065755,52.071747,52.359878,1.129984,-10.727783
0.058146,52.118912,52.359878,1.129984,-5.752179
-0.090507,52.105171,52.359878,1.129984,-3.969600
0.067362,52.252556,52.359878,1.129984,17.691645
0.046627,52.541370,52.359878,1.129984,-2.713081
0.081625,52.854103,52.359878,1.129984,1.351326
0.064042,52.184837,52.359878,1.129984,-17.455576
0.097324,52.291237,52.359878,1.129984,8.298797
0.070611,52.157059,52.359878,1.129984,7.763309
0.049292,51.886288,52.359878,1.129984,-15.923376
0.042606,52.039204,52.359878,1.129984,-1.020173
0.067975,52.571316,52.359878,1.129984,-0.481817
-0.002067,53.160004,52.359878,1.129984,16.713242
0.023148,52.274857,52.359878,1.129984,-14.324648
0.034891,52.110096,52.359878,1.129984,-4.764434
0.100770,52.198547,52.359878,1.129984,5.085584
0.053432,52.195812,52.359878,1.129984,-7.763204
0.045139,52.328014,52.359878,1.129984,9.889991
0.045218,52.563293,52.359878,1.129984,0.955506
0.081508,52.881184,52.359878,1.129984,3.883437
0.067745,52.425568,52.359878,1.129984,-25.762329
0.078036,52.192059,52.359878,1.129984,-5.814019
0.052124,51.974167,52.359878,1.129984,-1.203818
0.085499,52.294296,52.359878,1.129984,3.333536
0.073316,52.112629,52.359878,1.129984,-4.216388
0.100132,52.666706,52.359878,1.129984,18.309566
0.100369,52.895172,52.359878,1.129984,18.935020
0.054480,52.871994,52.359878,1.129984,-8.811308
0.085710,52.192539,52.359878,1.129984,-24.641872
0.044062,51.885483,52.359878,1.129984,-16.430967
0.056410,52.121132,52.359878,1.129984,16.301132
0.045161,51.986813,52.359878,1.129984,-8.150046
0.090833,52.142773,52.359878,1.129984,4.897454
0.097696,52.451614,52.359878,1.129984,4.107861
0.086653,53.222244,52.359878,1.129984,24.712326
0.070485,52.693783,52.359878,1.129984,-0.432123
0.149007,52.041309,52.359878,1.129984,-20.248219
0.082555,51.871639,52.359878,1.129984,-6.751631
0.075594,52.231056,52.359878,1.129984,4.224549
0.064445,52.356049,52.359878,1.129984,16.022797
0.053574,52.244530,52.359878,1.129984,-4.925895
0.052649,52.711025,52.359878,1.129984,3.372589
0.060420,52.903088,52.359878,1.129984,-10.828120
0.007256,52.702362,52.359878,1.129984,-1.917223
0.051657,51.876450,52.359878,1.129984,-9.191529
-0.029615,52.039806,52.359878,1.129984,5.889395
0.069859,52.149250,52.359878,1.129984,-3.772820
0.030518,52.540417,52.359878,1.129984,5.890985
-0.007758,52.786934,52.359878,1.129984,21.281084
0.040859,52.920082,52.359878,1.129984,4.549861
0.055648,52.388115,52.359878,1.129984,-17.197405
-0.356745,51.697659,52.359878,1.129984,-38.970486
0.013191,52.140511,52.359878,1.129984,11.864012
0.075636,52.439880,52.359878,1.129984,25.697124
-0.026656,52.458828,52.359878,1.129984,15.383930
0.070861,52.362095,52.359878,1.129984,3.058983
0.049070,52.856510,52.359878,1.129984,-1.596237
0.039743,52.783897,52.359878,1.129984,-7.032291
-0.053717,52.362270,52.359878,1.129984,-14.670016
0.077904,51.724922,52.359878,1.129984,-5.969077
0.123136,51.487617,52.359878,1.129984,-15.395153
0.085329,52.323097,52.359878,1.129984,14.391881
0.065780,52.375072,52.359878,1.129984,9.429896
0.065147,53.137714,52.359878,1.129984,30.199604
-0.010383,52.825455,52.359878,1.129984,5.102015
0.027219,52.255360,52.359878,1.129984,-29.701126
0.035778,51.593132,52.359878,1.129984,-25.726561
0.052670,51.730766,52.359878,1.129984,-7.037314
0.070971,52.647320,52.359878,1.129984,31.086411
0.062515,52.193542,52.359878,1.129984,-0.000764
0.105386,52.764065,52.359878,1.129984,18.105124
0.039035,53.093124,52.359878,1.129984,10.786091
0.053501,52.784611,52.359878,1.129984,-16.903568
0.127977,52.196659,52.359878,1.129984,-10.056053
0.053019,51.615368,52.359878,1.129984,-17.739918
0.057636,52.095413,52.359878,1.129984,6.894430
0.040869,52.204472,52.359878,1.129984,-9.898367
0.071603,52.595123,52.359878,1.129984,16.194351
0.041057,52.529701,52.359878,1.129984,-2.866712
0.081615,52.996925,52.359878,1.129984,6.613060
0.063948,52.225006,52.359878,1.129984,-18.289118
0.166965,52.042946,52.359878,1.129984,-5.495150
0.081033,51.677441,52.359878,1.129984,1.023459
0.060996,52.186501,52.359878,1.129984,3.421292
0.064552,52.364525,52.359878,1.129984,11.486742
0.044787,52.676811,52.359878,1.129984,7.474877
0.054218,52.833168,52.359878,1.129984,10.370684
0.044970,52.476723,52.359878,1.129984,-20.219166
0.076844,52.136696,52.359878,1.129984,-17.862663
0.038424,51.506054,52.359878,1.129984,-22.766773
0.090064,52.278336,52.359878,1.129984,30.472221
0.078213,52.106018,52.359878,1.129984,-0.485991
0.164596,52.619671,52.359878,1.129984,6.268869
0.083227,52.861416,52.359878,1.129984,11.416626
0.062173,53.171375,52.359878,1.129984,9.420631
0.050070,52.453083,52.359878,1.129984,-10.767233
0.043067,51.515324,52.359878,1.129984,-38.830112
0.063276,51.575825,52.359878,1.129984,-3.412803
0.064967,52.144859,52.359878,1.129984,8.501985
0.037783,52.852180,52.359878,1.129984,31.343761
0.044079,52.642353,52.359878,1.129984,3.263771
0.100712,53.092594,52.359878,1.129984,5.179571
0.025154,52.735718,52.359878,1.129984,-13.082235
0.037975,52.202332,52.359878,1.129984,-19.291464
0.029827,51.556610,52.359878,1.129984,-5.487861
0.095452,51.792641,52.359878,1.129984,0.154273
0.080624,52.365036,83.775804,1.129984,4.434503
0.047192,52.441113,83.775804,1.129984,-9.020165
0.089457,52.950459,83.775804,1.129984,21.014435
0.096450,52.706493,83.775804,1.129984,4.320272
0.056596,52.197910,83.775804,1.129984,-16.538824
0.107687,51.462700,83.775804,1.129984,-18.076578
0.122100,52.462143,83.775804,1.129984,25.616417
0.193161,57.994640,83.775804,1.129984,163.068420
0.194901,64.207619,83.775804,1.129984,210.243637
0.168573,74.132484,83.775804,1.129984,307.227722
0.161875,82.363083,83.775804,1.129984,251.350327
0.018119,88.037834,83.775804,1.129984,212.117905
0.022626,93.570297,83.775804,1.129984,140.001175
-0.025762,91.720314,83.775804,1.129984,-28.713537
-0.055200,91.454292,83.775804,1.129984,-36.069702
-0.023564,87.487396,83.775804,1.129984,-130.828644
0.022403,87.242790,83.775804,1.129984,-13.807247
0.067345,84.172760,83.775804,1.129984,-99.525658
0.061909,82.170998,83.775804,1.129984,-43.736446
0.099033,82.514771,83.775804,1.129984,-12.914729
0.065494,81.433960,83.775804,1.129984,-35.643627
0.036243,83.537323,83.775804,1.129984,59.254372
0.070420,82.693390,83.775804,1.129984,-26.376928
0.052352,82.424629,83.775804,1.129984,5.169474
0.097953,84.297844,83.775804,1.129984,32.021797
0.192737,82.773399,83.775804,1.129984,-41.064548
0.065512,84.926079,83.775804,1.129984,57.039841
0.068138,83.248901,83.775804,1.129984,-45.717644
0.053760,84.289879,83.775804,1.129984,46.089382
0.097503,84.116043,83.775804,1.129984,-27.334341
0.070201,83.060738,83.775804,1.129984,-14.857960
0.050032,84.566078,83.775804,1.129984,31.008610
0.060731,82.998917,83.775804,1.129984,-33.303825
0.125306,84.787552,83.775804,1.129984,50.053024
0.100837,83.602959,83.775804,1.129984,-34.947487
0.089006,83.366920,83.775804,1.129984,12.940701
0.068339,84.030159,83.775804,1.129984,-8.309562
0.011959,82.873093,83.775804,1.129984,-30.882725
0.086901,85.040718,83.775804,1.129984,45.794209
0.068946,82.965561,83.775804,1.129984,-40.456947
0.078413,84.551514,83.775804,1.129984,51.877842
0.070599,83.731224,83.775804,1.129984,-32.639969
0.032492,83.644890,83.775804,1.129984,19.638369
0.058037,84.056221,83.775804,1.129984,-9.753318
0.050348,82.707138,83.775804,1.129984,-29.762579
0.053845,84.810013,83.775804,1.129984,30.654902
0.029845,83.490295,83.775804,1.129984,-35.495964
0.025818,83.845291,83.775804,1.129984,34.407928
0.154742,83.478470,83.775804,1.129984,-23.791739
0.073885,83.262970,83.775804,1.129984,8.704864
0.077335,84.419975,83.775804,1.129984,5.258169
0.105953,82.615089,83.775804,1.129984,-39.092953
0.071099,84.606766,83.775804,1.129984,38.306942
0.044709,83.120819,83.775804,1.129984,-44.893017
0.076346,84.487785,83.775804,1.129984,49.072102
0.049900,83.395676,83.775804,1.129984,-38.504375
0.027701,83.933510,83.775804,1.129984,37.814640
0.132627,84.728073,83.775804,1.129984,5.262340
0.035650,82.880234,83.775804,1.129984,-22.937389
0.052171,84.338318,83.775804,1.129984,13.533337
0.028806,82.956970,83.775804,1.129984,-41.205719
0.018176,84.729721,83.775804,1.129984,53.147545
-0.041290,83.753975,83.775804,1.129984,-32.265335
0.047588,83.440002,83.775804,1.129984,19.314213
0.143703,84.650757,83.775804,1.129984,13.244072
0.069073,82.874016,83.775804,1.129984,-44.407635
